Middle,Region,Site,Unit,Batch,Species,Start Fish Density,End Fish Density,Hatchery,Lot Quality,Origin Year,Origin Month,From,To,Start Av. Wt.,End Av.Wt.,Model End Av. Wt. Act. Feed,Av. Wt. Deviation (%),Av. Wt. Before Sampl.,Model End Av. Wt. Sugg. Feed,Actual Feed,Feed Category,Supplier,Period Feed Qty,Model Feed Qty,Feed Deviation (%),Opening Fish No,Opening Biomass,Closing Fish No,Closing Biomass,Harvest Biomass,Transfer - (Kg),Transfer + (Kg),Biomass Produced,Biomass Produced Before Sampl.,Econ. FCR Period,Econ FCR Period Before Sampl.,Mortality No,Model Mortality No,Mortality Deviation (%),SFR Period (%),SFR Period (%) Before Sampl.,SGR Period (%),Max Feed Qty,Food Price,Current Grading,Feeding Policy,Group Tag,Vaccinated,Feeder,Feeding Rate (Kg / Hour),Fastings No,Avg. Temp.,Avg. Oxygene,Transfer - (No),Transfer + (No),Harvest (No),Sampling (No),LTD Mortality No,LTD Mortality %,LTD Econ. FCR,Period Day Degrees,Start Av. Weight Category,End Av. Weight Category
1418036400000,REGION1,SITE1,121_30,114_TS_0613_69,TSIPOURA,9.74,8.35,CHILIADOU,,2013,December,12/5/2014,12/11/2014,463.7,461.78,464.87,-0.66,464.85,463.7,COLORLINE 6.5 mm,COLOR LINE,FEEDUS,200,0,0,56734,26307.5558,48794,22532.09332,11429.8466,0,0,7654.38412,7804.1817,0.026128817,0.025627286,27,0,0,0.11,-0.06,-0.07,200,0,V,TSIPOURA 2014,,Unchecked,,0,0,18.14,0,0,0,2,0,2672,2.856929015,2.125973857,36,380-500,380-500
1418338800000,REGION1,SITE1,121_30,114_TS_0613_69,TSIPOURA,8.35,5.28,CHILIADOU,,2013,December,12/11/2014,12/12/2014,461.78,453.29,461.78,-1.84,461.78,0,,,,0,0,0,48794,22532.09332,31428,14245.99812,11526.82284,0,0,3240.72764,3507.55136,0,0,0,0,0,0,0,-1.86,,0,V,TSIPOURA 2014,,Unchecked,,0,0,18.3,0,0,0,2,0,2672,2.856929015,2.156518513,0,380-500,380-500
1418425200000,REGION1,SITE1,121_30,114_TS_0613_69,TSIPOURA,5.28,2.94,CHILIADOU,,2013,December,12/12/2014,12/13/2014,453.29,445.92,454.22,-1.83,453.29,453.29,COLORLINE 6.5 mm,COLOR LINE,FEEDUS,50,0,0,31428,14245.99812,17817,7944.95664,13936.79206,0,0,7635.75058,7767.06187,0.006548145,0.006437441,10,0,0,0.28,-0.37,-1.64,50,0,V,TSIPOURA 2014,,Unchecked,,0,0,18.2,0,0,0,2,0,2672,2.856929015,2.173986355,18,380-500,380-500
1418468400000,REGION1,SITE1,121_K10,121_TS_0913_99,TSIPOURA,5.9,2.64,KASTELLA,,2013,December,12/10/2014,12/16/2014,352.07,350.43,354.42,-1.13,354.3,352.07,"BLUELINE 5,0 mm",VLUE LINE,FEEDUS,175,0,0,37091,13058.62837,16631,5828.00133,15334.65317,0,0,8104.02613,8168.3881,0.021594205,0.021424056,25,0,0,0.17,-0.28,-0.08,175,0,V,TSIPOURA 2014,,Unchecked,,0,0,17.94,0,0,0,2,0,3059.29,4.648515723,2.007322138,37,300-380,300-380
1418641200000,REGION1,SITE1,121_30,114_TS_0613_69,TSIPOURA,2.94,0.13,CHILIADOU,,2013,December,12/13/2014,12/17/2014,445.92,439.48,447.06,-1.7,447.06,445.92,COLORLINE 6.5 mm,COLOR LINE,FEEDUS,50,0,0,17817,7944.95664,792,348.06816,14423.86752,0,0,6826.97904,6832.9824,0.007323884,0.007317449,15,0,0,0.11,-0.57,-0.36,50,0,V,TSIPOURA 2014,,Unchecked,,0,0,17.72,0,0,0,2,0,2687,2.872967165,2.119566072,18,380-500,380-500
1418684400000,REGION1,SITE1,121_K4,121_TS_0913_99,TSIPOURA,8.46,6.3,KASTELLA,,2013,December,12/9/2014,12/22/2014,334,316.76,339.65,-6.74,339.17,334,"BLUELINE 5,0 mm",VLUE LINE,FEEDUS,715,0,0,61132,20418.088,47994,15202.57944,4149.87276,0,0,-1065.6358,9.90974,-0.670960942,72.15123707,37,0,0,0.28,-125.76,-0.41,640,0,V,TSIPOURA 2015,,Unchecked,,0,0,17.73,0,0,0,1,1,3457.95,5.137445746,1.865416043,163,300-380,300-380
1418814000000,REGION1,SITE1,121_K10,121_TS_0913_99,TSIPOURA,2.64,,KASTELLA,,2013,December,12/16/2014,12/18/2014,350.43,342.4,350.43,-2.29,350.43,0,,,,0,0,0,16631,5828.00133,0,0,14099.6314,0,0,8271.63007,8271.63007,0,0,0,0,0,0,0,-1.16,,0,V,TSIPOURA 2014,,Unchecked,,0,0,17.6,0,0,0,2,0,3059.29,4.648515723,1.884306207,0,300-380,300-380
1418857200000,REGION1,SITE1,121_30,114_TS_0613_69,TSIPOURA,0.13,,CHILIADOU,,2013,December,12/17/2014,12/18/2014,439.48,440.77,439.48,0.29,439.48,0,,,,0,0,0,792,348.06816,0,0,10483.86177,0,0,10135.79361,10135.79361,0,0,0,0,0,0,0,0.29,,0,V,TSIPOURA 2014,,Unchecked,,0,0,17.55,0,0,0,2,0,2687,2.872967165,1.998559354,0,380-500,380-500
1418857200001,REGION1,SITE1,121_T6,121_TS_0314_102,TSIPOURA,5.29,6.43,CHILIADOU,,2014,March,12/17/2014,12/18/2014,104.24,126.72,105.02,20.66,105.04,104.24,BL 3.5 BREAM,VLUE LINE,FEEDUS,100,0,0,80800,8422.592,80800,10238.976,0,0,0,1816.384,64.64,0.055054438,1.547029703,0,0,0,1.08,1.18,19.53,100,0,V,TSIPOURA 2015,,Unchecked,,0,0,17.55,0,0,1,0,1,6969.82,8.002243901,1.651957194,36,100-150,100-150
1418857200002,REGION1,SITE1,121_T9,121_TS_0314_102,TSIPOURA,8.94,9.35,CHILIADOU,,2014,March,12/17/2014,12/18/2014,145.92,152.63,146.89,3.91,146.92,145.92,"SILVERLINE 5,0 mm",SILVER LINE,FEEDUS,125,0,0,81280,11860.3776,81280,12405.7664,0,0,0,545.3888,81.28,0.229194292,1.537893701,0,0,0,1.03,1.05,4.5,125,0,A,TSIPOURA 2014,,Unchecked,,0,0,17.55,0,0,1,0,1,6597.36,7.565271416,1.370135265,36,100-150,150-200
