Region;Site;Unit;Batch;Species;Start Fish Density;End Fish Density;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Proteins_Avg;Lipids_Avg;Vitamin_Mineral_Premix;Digestible_Energy;Period Feed Qty;Model Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Transfer - (Kg);Transfer + (Kg);Biomass Produced;Biomass Produced Before Sampl.;Econ. FCR Period;Econ FCR Period Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Current Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Day Degrees;Start Av. Weight Category;End Av. Weight Category;PRODUCT TYPE;GROUPING PROD. BGT
GREECE;PETALAS;PE_09;BAS26102013NS;BASS;3.12;7.29;NIREUS;;2013;October;19/03/14;01/07/14;29.12;69.22;71.07;-2.6;69.42;85.54;GR IR. SMART 3;SMART;IRIDA;0.48;0.21;0.03;20.95;6598;9085.454247;27.38;107229;3122.50848;105354;7292.60388;0;0;0;4170.0954;4191.1662;1.582217999;1.574263507;1255;3291;61.87;1.29;1.29;0.83;6014;1.224;;GR BASS SMOOTHLY;;Unchecked;;0;19;17.95;0;0;0;0;2;13996;11.66333333;1.628038634;44;A 1-300;A 1-300;;
GREECE;PETALAS;PEZ09;BAS29102013NS;BASS;3.25;7.43;NIREUS;;2013;October;19/03/14;01/07/14;31.81;73.63;75.65;-2.67;73.91;89.46;GR IR. SMART 3;SMART;IRIDA;0.48;0.21;0.03;20.95;6689.5;8991.362578;25.6;102195;3250.82295;100900;7429.267;0;0;0;4178.44405;4206.69605;1.600954786;1.590202839;1325;3150;57.94;1.27;1.27;0.81;6076.5;1.224;;GR BASS SMOOTHLY;;Unchecked;;0;18;17.95;0;0;0;0;2;10100;9.099099099;1.573424476;2697;A 1-300;A 1-300;;
GREECE;PETALAS;AKZ02;BAS20032014V_;BASS;0.65;2.07;VONITSA;81-100%18,9;2014;March;20/03/14;23/06/14;7.31;23.9;27.34;-12.58;19.16;37.55;GR IR. POW. 2;POWER;IRIDA;0.44;0.19;0.03;19.20;2385;3601.963159;33.79;89400;653.514;86575;2069.1425;0;0;0;1415.6285;1005.263;1.684764046;2.372513462;2725;3152;13.55;2.04;2.33;1.25;1696.5;1.604;;GR BASS SMOOTHLY;;Unchecked;;0;9;17.69;0;0;0;0;1;2725;3.048098434;1.684759286;505;A 1-300;A 1-300;;
GREECE;PETALAS;AKS04;BAS20032014xV_;BASS;0.66;2.69;VONITSA;81-100%18,9;2014;March;20/03/14;01/07/14;7.31;30.5;31.19;-2.21;26.69;43.03;GR IR. POW. 2;POWER;IRIDA;0.44;0.19;0.03;19.20;2851;4295.634407;33.63;90400;660.824;88195;2689.9475;0;0;0;2029.1235;1693.10055;1.405040157;1.683892903;2205;3413;35.39;1.91;2.08;1.39;2159;1.604;;GR BASS SMOOTHLY;;Unchecked;;0;7;17.98;0;0;0;0;1;2205;2.439159292;1.368075688;476;C 365-600;C 365-600;;
GREECE;PETALAS;AKS01;BAS29032014V__;BASS;0.68;2.28;VONITSA;80-100%12,5;2014;March;29/03/14;01/07/14;6.43;22.09;22.41;-1.43;17.35;37.94;GR IR. POW. 2;POWER;IRIDA;0.44;0.19;0.03;19.20;2139;4344.902127;50.77;106000;681.58;103310;2282.1179;0;0;0;1600.5379;1110.8485;1.33642571;1.925555105;2690;3760;28.46;1.72;1.98;1.31;1393.5;1.604;;GR BASS SMOOTHLY;;Unchecked;;0;6;18.15;0;0;0;0;1;2690;2.537735849;1.309559742;430;A 1-300;A 1-300;;
GREECE;PETALAS;AKZ03;BAS31032014VMI;BASS;0.76;1.09;VONITSA;0-58%17,4;2014;March;31/03/14;30/04/14;6.66;9.62;9.25;4;9.27;11.58;GR IR. POW.1,5;POWER;IRIDA;0.44;0.19;0.03;19.20;416.5;804.0094238;48.2;114300;761.238;113775;1094.5155;0;0;0;333.2775;293.45625;1.249709326;1.419291632;525;1567;66.5;1.51;1.54;1.23;416.5;1.932;;GR BASS SMOOTHLY;;Unchecked;;0;4;16.61;0;0;0;0;1;525;0.459317585;1.249679329;348;A 1-300;A 1-300;;
GREECE;PETALAS;AKZ09;BAS01042014V__;BASS;0.86;1.18;VONITSA;44-63%14,3;2014;April;01/04/14;30/04/14;8.33;11.5;10.99;4.64;11.02;13.81;GR IR. POW.1,5;POWER;IRIDA;0.44;0.19;0.03;19.20;390.5;819.3399516;52.34;103800;864.654;102830;1182.545;0;0;0;317.891;268.5326;1.22840848;1.454199602;970;1242;21.9;1.33;1.36;1.11;390.5;1.932;;GR BASS SMOOTHLY;;Unchecked;;0;4;16.63;0;0;0;0;1;970;0.934489403;1.228393023;595;A 1-300;A 1-300;;
GREECE;PETALAS;AKZ07;BAS04042014VML (_10_);BASS;0.58;0.9;VONITSA;32-68%20,2;2014;April;04/04/14;30/04/14;4.64;7.19;6.81;5.58;6.85;8.17;GR IR. POW.1,5;POWER;IRIDA;0.44;0.19;0.03;19.20;362;599.6019513;39.63;125600;582.784;124755;896.98845;0;0;0;314.20445;271.78775;1.152116082;1.331921693;845;1613;47.61;1.91;1.96;1.68;362;1.932;;GR BASS SMOOTHLY;;Unchecked;;0;3;16.65;0;0;0;0;1;845;0.672770701;1.152101415;430;A 1-300;A 1-300;;
GREECE;PETALAS;PE_08;BAS31072013VONx;BASS;3.05;4.6;VONITSA;28-86%17,9;2013;July;09/04/14;01/07/14;97.65;149.56;152.33;-1.82;133.41;165.43;GR IR. PLUS 4,5 _;PLUS;IRIDA;0.46;0.20;0.03;20.08;8250;10345.94264;20.26;87400;8534.61;86070;12872.6292;0;0;0;4338.0192;2947.9887;1.901789646;2.79851819;1330;2148;38.08;0.94;1;0.51;8250;1.12;;GR BASS SMOOTHLY;PEZ03\BAS31072013VONx;Unchecked;;0;23;18.38;0;0;1;0;1;26529.98;25.85768535;1.762354748;593;A 1-300;;;
GREECE;PETALAS;PEZ02;BAS09102013NS;BASS;4.12;7.74;NIREUS;;2013;October;11/04/14;01/07/14;42.63;80.93;83.03;-2.53;81.01;94.31;GR IR. SMART 3;SMART;IRIDA;0.48;0.21;0.03;20.95;5848.5;7587.885316;22.92;96610;4118.4843;95580;7735.2894;0;0;0;3616.8051;3624.4515;1.61703488;1.613623468;1080;2296;52.96;1.26;1.26;0.79;5536;1.224;;GR BASS SMOOTHLY;;Unchecked;;0;18;18.41;0;0;0;0;2;18420;16.15789474;1.679729102;5646;A 1-300;C 365-600;;
