Region	Site	Unit	Batch	Species	Start Fish Density	End Fish Density	Hatchery	Lot Quality	Origin Year	Origin Month	From	To	Start Av. Wt.	End Av.Wt.	Model End Av. Wt. Act. Feed	Av. Wt. Deviation (%)	Av. Wt. Before Sampl.	Model End Av. Wt. Sugg. Feed	Actual Feed	Feed Category	Supplier	Period Feed Qty	Model Feed Qty	Feed Deviation (%)	Opening Fish No	Opening Biomass	Closing Fish No	Closing Biomass	Harvest Biomass	Transfer - (Kg)	Transfer + (Kg)	Biomass Produced	Biomass Produced Before Sampl.	Econ. FCR Period	Econ FCR Period Before Sampl.	Mortality No	Model Mortality No	Mortality Deviation (%)	SFR Period (%)	SFR Period (%) Before Sampl.	SGR Period (%)	Max Feed Qty	Food Price	Current Grading	Feeding Policy	Group Tag	Vaccinated	Feeder	Feeding Rate (Kg / Hour)	Fastings No	Avg. Temp.	Avg. Oxygene	Transfer - (No)	Transfer + (No)	Harvest (No)	Sampling (No)	LTD Mortality No	LTD Mortality %	LTD Econ. FCR	Period Day Degrees	Start Av. Weight Category	End Av. Weight Category	cage comment	feeding test	aminolab check date	pre-grow code
d	d	d	d	d	c	c	d	d	c	d	c	c	c	c	c	c	c	c	d	d	d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d	d	d	d	d	c	c	c	c	c	c	c	c	c	c	c	c	d	d	d	d	d	d
																																		c																																
ashdod	quality fish	QF.28	sea25022013Ard	sea bream	4.85	6.68	Ardag		2013	February	8/27/2013	10/1/2013	74	102	96.62	5.57	96.54	97.56	45/22 3 mm 4943	Raanan summer	raanan	8704	9081.799195	4.16	205749	15225.426	205629	20974.158	0	0	0	5748.732	4625.99766	1.514073016	1.881540078	120	0	0	1.39	1.43	0.92	8704	4.808		quality fish conservative summer	february	Unchecked		0	1	29.28	29.28	0	0	0	2	2276.31	1.09487824	1.150159837	1054	02  051-100	03  101-150				
ashdod	quality fish	QF.32	sea09042013Ard	sea bream	5.07	7.31	Ardag		2013	April	8/27/2013	10/1/2013	61	88	79.63	10.51	79.61	82.57	45/22 3 mm 4943	Raanan summer	raanan	8768	10197.1368	14.02	260860	15912.46	260860	22955.68	0	0	0	7043.22	4854.6046	1.244885152	1.806120317	0	0	0	1.3	1.37	1.05	8768	4.808		quality fish conservative summer	april	Unchecked		0	0	29.28	29.28	0	0	0	2	600	0.229480609	1.383455188	1054	02  051-100	02  051-100				
ashdod	quality fish	QF.17	sea02052013Ard	sea bream	2.06	3.56	Ardag		2013	May	9/10/2013	10/1/2013	41	71	51.21	38.64	51.11	51.6	45/22 3 mm 4943	Raanan summer	raanan	2715	2823.943471	3.86	157611	6462.051	157611	11190.381	0	0	0	4728.33	1593.44721	0.574198501	1.70385312	0	0	0	1.5	1.79	2.61	2210	4.808	S	quality fish conservative summer	may	Unchecked		0	1	28.77	28.77	0	0	0	2	13569.33	6.16783578	1.348185872	633	01  0-50	02  051-100			26/08/2014	
ashdod	quality fish	QF.06	26062012	sea bream	9.59	11.26	Ardag		2012	June	8/28/2013	10/2/2013	316	371	362.97	2.21	362.92	363.03	45/22 4.5 mm 4944	Raanan summer	raanan	10847	10868.5215	0.2	95388	30142.608	95388	35388.948	0	0	0	5246.34	4475.60496	2.067536606	2.423582979	0	0	0	0.95	0.96	0.46	10847	4.811		quality fish conservative summer	june	Unchecked		0	0	29.19	29.19	0	0	0	2	19052	16.64802517	2.306878287	1051	07  301-350	08  351-400			17/12/2013	
ashdod	quality fish	QF.16	sea14062013maa	sea bream	3.9	5.3	maagan michael		2013	June	8/28/2013	10/2/2013	67	91	89.54	1.63	89.27	89.62	45/22 3 mm 4943	Raanan summer	raanan	7592	7617.418755	0.33	182997	12260.799	182997	16652.727	0	0	0	4391.928	4075.34319	1.728625788	1.862910593	0	0	0	1.51	1.53	0.87	7592	4.808		quality fish conservative summer	june	Unchecked		0	0	29.19	29.19	0	0	0	2	3500	1.876705792	1.577274043	1051	02  051-100	02  051-100				
ashdod	quality fish	QF.07	26062012	sea bream	8.18	9.1	Ardag		2012	June	8/29/2013	10/2/2013	284	316	324.17	-2.52	324.94	327.38	45/22 4.5 mm 4944	Raanan summer	raanan	8625	9333.317136	7.59	90487	25698.308	90487	28593.892	0	0	0	2895.584	3704.53778	2.978673732	2.328225682	0	0	0	0.94	0.92	0.31	8625	4.811		quality fish conservative summer	june	Unchecked		0	0	29.14	29.14	0	0	0	2	17875	16.495635	2.565834507	1020	06  251-300	07  301-350			14/01/14	
ashdod	quality fish	QF.11	sea29112012Ard	sea bream	4.07	5.11	Ardag		2012	November	8/29/2013	10/2/2013	156	196	198.01	-1.02	198.69	187.76	summer 46/22-30 4 4934	summer	tzemach	7497	5634.380415	-33.06	81884	12773.904	81884	16049.264	0	0	0	3275.36	3495.62796	2.2889087	2.144679035	0	0	0	1.54	1.53	0.67	7497	5.041		quality fish conservative summer	november	Unchecked		0	0	29.14	29.14	0	0	0	2	3406	3.993434166	2.6866979	1020	04  151-200	04  151-200	genetic cage	tzemach	18/03/2014	
ashdod	quality fish	QF.21	sea29112012Ard	sea bream	5.91	7.5	Ardag		2012	November	8/29/2013	10/2/2013	219	278	261.8	6.19	261.75	257.05	summer 46/22-30 4 4934	summer	tzemach	8238	7315.613126	-12.61	84778	18566.382	84778	23568.284	0	0	0	5001.902	3624.2595	1.646973491	2.273016046	0	0	0	1.16	1.19	0.7	8238	5.041		quality fish conservative summer	november	Unchecked		0	0	29.14	29.14	0	0	0	2	512	0.600304842	2.008106028	1020	05  201-250	06  251-300	genetic cage		29/01/2014	
ashdod	quality fish	QF.31	sea18102012Ard	sea bream	6.2	7.91	Ardag		2012	October	8/29/2013	10/2/2013	170	217	207.94	4.36	207.78	203.62	summer 46/22-30 4 4934	summer	tzemach	9421	8347.752575	-12.86	114534	19470.78	114534	24853.878	0	0	0	5383.098	4327.09452	1.750107466	2.177211511	0	0	0	1.26	1.29	0.72	9421	5.041	L	quality fish conservative summer	october	Unchecked		0	0	29.14	29.14	0	0	0	2	993.24	0.859745286	1.759076862	1020	04  151-200	05  201-250		tzemach	11/02/2014	
ashdod	quality fish	QF.34	sea18102012Ard	sea bream	0	0	Ardag		2012	October	8/29/2013	10/2/2013	206	242	250.7	-3.47	250.7	242.98	summer 46/22-30 4 4934	summer	tzemach	10829	8943.358192	-21.08	107857	22218.542	107857	26101.394	0	0	0	3882.852	4821.2079	2.788929375	2.246117617	0	0	0	1.32	1.3	0.47	10829	5.041		quality fish conservative summer	october	Unchecked		0	0	29.14	29.14	0	0	0	2	1624.44	1.483758343	1.798370368	1020	05  201-250	05  201-250		tzemach	31/12/2013	
ashdod	quality fish	QF.37	sea18102012Ard	sea bream	4.95	6.52	Ardag		2012	October	8/29/2013	10/2/2013	148	195	181.23	7.6	182.01	178.97	summer 46/22-30 4 4934	summer	tzemach	7512	6994.804207	-7.39	105074	15550.952	105074	20489.43	0	0	0	4938.478	3573.56674	1.521116425	2.102101499	215	0	0	1.23	1.28	0.81	7512	5.041		quality fish conservative summer	october	Unchecked		0	0	29.14	29.14	0	0	0	2	2078.75	1.939987541	1.92927677	1020	03  101-150	04  151-200		tzemach	24/02/2014	
ashdod	quality fish	QF.29	17092013Ard	sea bream	0.71	1.24	Ardag		2013	September	9/17/2013	10/11/2013	4.5	8	7.67	4.3	7.73	7.66	TM 4	Raanan starter	raanan	1670	1663.364052	-0.4	397681	1789.5645	389261	3114.088	0	0	0	1324.5235	1219.42303	1.260830782	1.369500132	10920	0	0	2.91	2.97	2.4	1670	12.5		quality fish conservative summer	september	Unchecked		0	1	28.2	28.2	0	0	0	1	9170	2.291463113	1.25821418	705	01  0-50	01  0-50				
ashdod	quality fish	QF.18	sea09072013Ard	sea bream	4.33	5.68	Ardag		2013	July	9/24/2013	10/11/2013	32	42	38.47	9.18	38.19	40.22	2.5 mm 4922	Raanan weaning	raanan	4355	5534.421614	21.31	424882	13596.224	424882	17845.044	0	0	0	4248.82	2630.01958	1.024990468	1.655881208	0	0	0	1.64	1.72	1.6	2514.5	6.9		quality fish conservative summer	july	Unchecked		0	0	27.89	27.89	0	0	0	2	75000	15.00354084	1.109610196	502	01  0-50	01  0-50				
ashdod	quality fish	QF.26	sea28082013Ard	sea bream	1.28	2.11	Ardag		2013	August	9/24/2013	10/11/2013	7	10	9.66	3.52	10.02	10.33	TM 4	Raanan starter	raanan	1830	2276.078542	19.6	461163	3228.141	531523	5315.23	0	0	778.14	1308.949	1319.57946	1.398068221	1.38680546	8240	0	0	4.1	4.08	2.1	1830	12.5		quality fish conservative summer	august	Unchecked		0	1	27.89	27.89	0	1	0	2	41340	7.155183008	1.127713561	502	01  0-50	01  0-50				
ashdod	quality fish	QF.15	sea11062013Ard	sea bream	1.54	1.76	Ardag		2013	June	10/1/2013	10/11/2013	34	39	39.33	-0.84	38.88	39.16	2.5 mm 4922	Raanan weaning	raanan	1195	1156.885272	-3.29	142026	4828.884	142026	5539.014	0	0	0	710.13	693.08688	1.682790475	1.724170569	0	0	0	2.31	2.31	1.37	597.5	6.9	S	quality fish conservative summer	june	Unchecked		0	0	27.55	27.55	0	1	0	1	2562.36	1.041941992	2.034385184	303	01  0-50	01  0-50				
ashdod	quality fish	QF test cage 1	sea18102012Ard	sea bream	0	0	Ardag		2012	October	9/17/2013	10/16/2013	194	241	228.07	5.67	227.38	225.66	45/22 4.5 mm 4944	Raanan summer	raanan	111.24	103.2641642	-7.72	1476	286.344	1476	355.716	0	0	0	69.372	49.26888	1.603528801	2.257814669	0	0	0	1.2	1.24	0.75	111.24	4.8		quality fish conservative summer	october	Unchecked		0	0	27.87	27.87	0	0	0	2	46.59	3.05991764	1.872464554	836	04  151-200	05  201-250		raanan		
